instance n_pattern n_target runtime_realkdown runtime_kdown solsize solsize_over_n_pattern
si2_m4Dr4_m625.02 125 625 220 6 125 1.0
si2_m4Dr4_m625.03 125 625 248 4 125 1.0
si2_m4Dr4_m625.00 125 625 222 5 125 1.0
si2_m4Dr4_m625.05 125 625 215 4 125 1.0
si2_m4Dr4_m625.06 125 625 288 16 125 1.0
si2_m4Dr4_m625.09 125 625 415 2627 125 1.0
si2_m4Dr4_m625.01 125 625 224 5 125 1.0
si2_m4Dr4_m625.08 125 625 285 52 125 1.0
si2_m4Dr4_m625.04 125 625 296 362 125 1.0
si4_r01_m400.01 160 400 71142 144 160 1.0
si4_r01_m400.08 160 400 302034 8 160 1.0
si4_r01_m400.02 160 400 833713 122 160 1.0
si4_r01_m400.03 160 400 311782 304 160 1.0
si4_r01_m400.07 160 400 687152 89 160 1.0
si4_r01_m400.06 160 400 89741 18 160 1.0
si4_r01_m400.04 160 400 811723 2785 160 1.0
si4_r01_m400.00 160 400 924056 1738 160 1.0
si4_r01_m400.05 160 400 85122 243 160 1.0
si4_r01_m400.09 160 400 188858 1440 160 1.0
si2_b09m_m400.09 80 400 95 1 80 1.0
si2_b09m_m400.03 80 400 94 2 80 1.0
si2_b09m_m400.01 80 400 157 1 80 1.0
si2_b09m_m400.08 80 400 94 3 80 1.0
si2_b09m_m400.05 80 400 115 6 80 1.0
si2_b09m_m400.06 80 400 93 2 80 1.0
si2_b09m_m400.00 80 400 162 2 80 1.0
si2_b09m_m400.02 80 400 135 2 80 1.0
si2_b09m_m400.04 80 400 92 2 80 1.0
si2_b09m_m400.07 80 400 98 2 80 1.0
si2_b09_m800.07 160 800 484 9 160 1.0
si2_b09_m800.04 160 800 512 6 160 1.0
si2_b09_m800.05 160 800 418 6 160 1.0
si2_b09_m800.00 160 800 412 6 160 1.0
si2_b09_m800.02 160 800 433 9 160 1.0
si2_b09_m800.01 160 800 409 6 160 1.0
si2_b09_m800.08 160 800 498 6 160 1.0
si2_b09_m800.09 160 800 423 6 160 1.0
si2_b09_m800.03 160 800 547 9 160 1.0
si2_b09_m800.06 160 800 413 6 160 1.0
si6_b03_m400.04 240 400 172 3 240 1.0
si6_b03_m400.09 240 400 201 2 240 1.0
si6_b03_m400.02 240 400 172 2 240 1.0
si6_b03_m400.06 240 400 238 3 240 1.0
si6_b03_m400.05 240 400 184 2 240 1.0
si6_b03_m400.08 240 400 223 2 240 1.0
si6_b03_m400.01 240 400 172 2 240 1.0
si6_b03_m400.07 240 400 172 2 240 1.0
si6_b03_m400.03 240 400 190 3 240 1.0
