i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
8 1 0.2 300 60 12 7 18 7 10 10 79 30 96 62 137
9 1 0.2 300 60 14 14 8 8 12 17 85 56 109 66 182
10 1 0.2 300 60 6 3 3 3 4 4 82 28 35 33 71
1 1 0.2 500 100 42 23 81 23 30 30 323 86 829 647 364
2 1 0.2 500 100 63 62 38 37 47 47 471 209 759 599 938
3 1 0.2 500 100 57 54 791 34 45 45 431 164 327 328 980
4 1 0.2 500 100 55 53 656 32 39 39 331 90 954 739 1183
5 1 0.2 500 100 45 43 26 26 26 36 308 72 626 514 877
6 1 0.2 500 100 44 41 288 25 29 28 324 87 382 333 417
7 1 0.2 500 100 47 46 27 28 37 52 580 293 956 750 1164
8 1 0.2 500 100 84 27 27 44 38 38 338 125 418 350 414
9 1 0.2 500 100 93 59 1607 89 62 62 407 158 2012 1624 1016
10 1 0.2 500 100 75 42 25 42 29 40 367 163 1562 1331 823
1 1 0.2 750 150 447 244 240 242 285 289 1262 365 7649 6273 7868
2 1 0.2 750 150 294 161 181 185 212 196 1627 657 7686 6227 4443
3 1 0.2 750 150 279 174 166 179 180 159 1594 664 6543 5302 7229
4 1 0.2 750 150 253 160 158 136 153 168 1902 889 4949 3959 6520
5 1 0.2 750 150 258 179 170 173 198 194 1682 716 4502 3716 4249
6 1 0.2 750 150 425 232 333 236 325 293 1896 892 14210 11281 7899
7 1 0.2 750 150 212 110 106 146 217 178 2054 1003 2178 1809 2165
8 1 0.2 750 150 266 157 158 135 220 205 1563 628 6438 5151 5297
9 1 0.2 750 150 241 209 261 129 209 193 1286 393 6500 5503 5934
10 1 0.2 750 150 331 200 187 186 233 243 2615 791 7817 6411 6050
1 1 0.2 1000 200 387 197 1603 202 220 217 3325 1172 6845 4729 6164
2 1 0.2 1000 200 778 371 370 357 541 540 5151 2547 10642 8392 9016
3 1 0.2 1000 200 600 289 278 283 466 465 3915 1528 33701 28085 6985
4 1 0.2 1000 200 255 129 132 134 126 126 5161 2670 5964 4994 4232
5 1 0.2 1000 200 825 385 1496 396 508 512 4035 1254 31140 24250 6340
6 1 0.2 1000 200 1187 624 441 625 695 713 4931 2479 22620 19210 15004
7 1 0.2 1000 200 638 296 988 305 399 400 4816 2376 6866 5044 5255
8 1 0.2 1000 200 601 274 274 275 372 395 5057 2637 8188 6651 7588
9 1 0.2 1000 200 429 204 2245 200 210 236 3228 1076 5926 4777 4066
10 1 0.2 1000 200 723 379 373 395 448 442 5538 2990 28769 23262 14154
1 1 0.2 1250 250 961 441 438 440 373 373 13881 7399 17474 13934 10260
2 1 0.2 1250 250 675 324 2353 339 199 199 28063 17761 16901 13843 11689
3 1 0.2 1250 250 1135 593 544 555 829 823 15341 7897 132440 107579 10069
4 1 0.2 1250 250 3894 1884 3355 1907 2150 2161 14578 7515 56896 46063 62610
5 1 0.2 1250 250 1893 878 878 868 1277 1239 24946 15500 89401 72435 23656
6 1 0.2 1250 250 2544 1315 2564 1308 1316 1308 28922 17891 28580 24372 37441
7 1 0.2 1250 250 2253 1144 1149 1155 1127 1122 32723 20717 98786 77798 45297
8 1 0.2 1250 250 4447 2165 3317 2273 2524 2585 15941 8477 29461 23382 85968
9 1 0.2 1250 250 2118 1028 1062 1066 825 832 34922 22417 57544 46286 70044
10 1 0.2 1250 250 4176 1977 1997 1981 1842 1844 14975 7794 86534 71519 71020
