instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-629 15 0.695238 38 0.291607 47032 56869 47032 47032 75543 50474 62810 80744 62810 62810 109733 125048 109733 109733
r-520 28 0.674603 29 0.394089 5938176 6602897 6602897 5938176 7861574 5118080 9721171 11470952 11470952 9721171 7613945 8067548 8067548 7613945
r-397 24 0.851449 37 0.933934 247744 -1 247744 247744 -1 296859 291255 -1 291255 291255 2634691 -1 2634691 2634691
r-35 28 0.0291005 15 0.352381 1820003 2424 2424 2424 1836852 2380 2186844 2551 2551 2551 2707484 3865 3865 3865
r-331 32 0.782258 10 0.466667 3385 2390 2390 2390 3668 2405 3765 1324 1324 1324 4763 1705 1705 1705
r-313 10 0.2 38 0.231863 136 103 103 136 99 151 123 114 114 123 85 33 33 85
r-850 31 0.455914 31 0.690323 26844829 27559329 26844829 26844829 35712617 24683449 47728057 45937863 47728057 47728057 33007940 37520446 33007940 33007940
r-425 22 0.692641 35 0.789916 1394444 10523873 1394444 1394444 8804412 1766712 1969382 16498057 1969382 1969382 1506250 4872661 1506250 1506250
r-867 17 0.735294 28 0.113757 14925 23360 14925 14925 28242 9936 22182 30697 22182 22182 23878 32193 23878 23878
r-418 31 0.802151 10 0.577778 9357 746 746 746 9360 789 9438 797 797 797 5651 865 865 865
r-392 15 0.914286 14 0.461538 10009 1373 1373 1373 8066 912 12987 2074 2074 2074 11525 3100 3100 3100
r-352 35 0.344538 32 0.764113 10604773 12292729 10604773 12292729 14438110 9039990 18362144 20154290 18362144 20154290 14110571 19020528 14110571 19020528
r-722 18 0.20915 31 0.423656 1725380 982895 982895 1725380 1488052 1578146 2777293 1624393 1624393 2777293 1653168 2027615 2027615 1653168
