instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r3-2-24-35 24 0.300725 35 0.314286 5813 11248 5800 10855 5895 9305 19768 9293 8250 11299 8256
r3-2-29-30 29 0.285714 30 0.252874 9846 15022 9894 13209 10752 16302 26154 16352 14957 17244 15035
r2-1-26-27 26 0.332308 27 0.259259 2306 4697 2314 3775 2553 3735 8356 3757 2940 4306 2939
r3-3-34-35 34 0.304813 35 0.307563 100002 100004 100004 100003 100001 100003 100002 100001 100000 100005 100003
r3-2-38-35 38 0.266003 35 0.314286 100004 100009 100001 100002 100004 100000 100002 100005 100009 100000 100005
r1-1-33-31 33 0.327652 31 0.298925 67340 98812 98414 74985 91872 100004 100006 100001 60964 86744 86051
r1-1-32-21 32 0.268145 21 0.290476 2545 685 687 2490 745 4128 988 986 2534 1007 1012
r1-1-40-29 40 0.301282 29 0.300493 100009 89354 89069 100000 90101 100007 100003 100000 100005 100009 100001
r1-3-18-16 18 0.24183 16 0.3 6 4 4 6 3 9 5 5 7 3 3
r2-2-40-14 40 0.317949 14 0.21978 89 23 22 90 23 91 22 22 67 20 20
r3-2-38-39 38 0.266003 39 0.327935 100009 100006 100000 100001 100000 100000 100002 100004 100008 100005 100000
r2-3-14-13 14 0.21978 13 0.358974 1 0 0 1 0 2 0 0 1 0 1
