instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-992 26 0.289231 36 0.277778 10322074 13410793 10322074 13776909 10705706 16144991 23332414 16144991 52674347 18341371 52674347
r-961 28 0.306878 18 0.300654 228323 102877 102877 241407 101548 365513 142331 142331 214170 273212 273212
r-939 13 0.269231 30 0.289655 5213 15388 5213 14960 5239 5402 17014 5402 4831 5966 4831
r-319 33 0.297348 11 0.290909 200 509 509 203 492 178 457 457 1001 2806 2806
r-495 25 0.306667 40 0.310256 31307958 38719675 31307958 38642642 31186098 51362015 -1 51362015 44626789 44813952 44626789
r-823 17 0.330882 35 0.277311 65147 347137 65147 223169 68198 88283 504313 88283 248091 234068 248091
r-188 30 0.312644 13 0.307692 43352 17153 17153 44357 17779 54398 19365 19365 6975 45395 45395
r-674 11 0.345455 16 0.341667 971 324 971 360 994 1150 343 1150 1029 2043 1029
r-973 25 0.303333 35 0.332773 6679426 4488769 6679426 5078885 6470482 11002401 7161049 11002401 21812991 12928816 21812991
r-731 20 0.352632 22 0.290043 40439 163865 40439 153066 39513 57188 279209 57188 61389 168655 61389
r-843 22 0.324675 36 0.293651 2670164 6460024 2670164 6123481 2812487 3576465 9952069 3576465 3102054 4992132 3102054
r-395 39 0.300945 12 0.363636 17792 7629 7629 17792 8015 17818 7672 7672 14829 8986 8986
r-465 10 0.311111 15 0.32381 929 403 929 401 958 1101 462 1101 1120 901 1120
r-686 24 0.289855 13 0.24359 16421 9532 9532 16854 9688 18262 7851 7851 1909 8200 8200
r-802 15 0.295238 15 0.27619 4882 5392 4882 4963 4435 7321 6784 7321 5498 6599 5498
r-148 12 0.454545 21 0.314286 3272 7480 3272 8287 3455 4303 10689 4303 5944 4869 5944
r-502 35 0.305882 36 0.274603 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-788 28 0.31746 18 0.287582 359796 131319 131319 367725 130381 551872 187648 187648 179194 201948 201948
r-143 26 0.246154 25 0.276667 2729454 1504774 1504774 3014999 1380807 4351398 2390949 2390949 2599128 1303004 1303004
r-12 37 0.27027 13 0.282051 17223 4612 4612 17224 4981 16824 4546 4546 14565 28705 28705
r-50 39 0.275304 38 0.268848 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-8 13 0.24359 23 0.233202 9417 22503 9417 19267 9621 11115 28800 11115 7374 22855 7374
r-54 23 0.3083 33 0.278409 3107586 5764275 3107586 5120760 3220169 4466936 9372606 4466936 6180028 6268087 6180028
r-559 34 0.299465 35 0.32437 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-608 38 0.28165 12 0.242424 68 110 110 70 114 71 89 89 1232 329 329
r-719 26 0.310769 26 0.298462 940274 694555 940274 1103403 534375 1530413 1081609 1530413 2479745 2327391 2479745
r-496 11 0.4 17 0.279412 432 1404 432 1402 447 577 1940 577 587 622 587
r-433 11 0.4 19 0.298246 591 3770 591 3413 734 723 4660 723 1958 3646 1958
r-149 20 0.257895 25 0.333333 308514 157224 308514 201134 225683 462814 259750 462814 478234 307404 478234
r-576 16 0.258333 39 0.330634 389025 171900 389025 165975 391477 477082 215527 477082 413939 592051 413939
r-418 26 0.341538 18 0.359477 264306 223034 223034 257751 223581 450606 354851 354851 190095 338027 338027
r-664 23 0.3083 31 0.288172 1441341 2769172 1441341 2728685 1592560 2232894 4447809 2232894 6611143 2945289 6611143
r-614 29 0.342365 35 0.322689 26706345 46831780 26706345 48335484 26322010 48074785 -1 48074785 55822896 45520423 55822896
r-510 20 0.347368 30 0.305747 389161 1115745 389161 1074676 489187 584063 1836849 584063 1149342 774048 1149342
r-343 32 0.306452 10 0.288889 122 140 140 122 140 125 121 121 164 124 124
r-879 15 0.295238 39 0.302294 18543 58693 18543 55070 18238 22187 71015 22187 130262 99838 130262
r-322 40 0.30641 29 0.278325 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-230 26 0.264615 31 0.283871 9611460 8572704 9611460 9748237 9086812 15717728 14421618 15717728 15862638 13626317 15862638
r-599 32 0.27621 26 0.261538 5762448 8996896 8996896 6479915 8202039 9657688 14284814 14284814 8917203 12656428 12656428
