instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-999 33 0.261364 32 0.502016 6876846 9373771 9373771 9373771 8140368 6063147 10851498 16528467 16528467 16528467 11433067 11584181 11584181 11584181
r-928 18 0.202614 14 0.010989 2697 85351251 2697 85351251 1129462 11051871 1291 86844031 1291 86844031 671009 82386131 671009 82386131
r-183 23 0.166008 18 0.156863 13010 5375 13010 5375 14281 6792 13037 6255 13037 6255 36140 107817 36140 107817
r-60 38 0.789474 35 0.769748 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-564 30 1 10 0.177778 433 31 31 31 439 31 902 249 249 249 433 61 61 61
r-455 39 0.592443 27 0.626781 -1 44798732 -1 44798732 -1 41813634 -1 -1 -1 -1 77470657 116549076 77470657 116549076
r-101 20 0.257895 23 0.142292 6475 47644 6475 6475 39945 7564 8155 69792 8155 8155 83509 98227 83509 83509
r-414 36 0.839683 23 0.3083 16752 36719 36719 36719 21347 20005 14327 49767 49767 49767 73738 122476 122476 122476
r-884 20 0.594737 38 0.719772 427078 2238253 427078 427078 2039973 501027 616080 3750036 616080 616080 1289568 1522070 1289568 1289568
r-620 19 0.134503 11 0.0909091 69 89 69 89 69 89 55 62 55 62 10886 1062 10886 1062
r-547 23 0.181818 10 0.333333 1042 202 202 202 1043 202 1075 236 236 236 658 336 336 336
r-591 19 0.51462 28 0.814815 23450 211652 23450 23450 147774 41368 35543 397638 35543 35543 42008 78023 42008 42008
r-950 34 0.16934 16 0.416667 80190 16475 16475 16475 80448 30009 120614 19586 19586 19586 55546 19809 19809 19809
r-914 34 0.368984 39 0.0931174 1503532 21202513 1503532 1503532 18147558 2089553 698088 32497000 698088 698088 2060988 33617902 2060988 2060988
r-302 14 0.472527 21 0.214286 2632 21329 2632 2632 17546 3849 2798 36794 2798 2798 6206 6587 6206 6206
r-987 27 0.57265 33 0.94697 11739 1075908 11739 11739 1045111 11555 11385 1618070 11385 11385 162228 763417 162228 162228
r-846 38 0.662873 26 0.424615 2692214 6472008 6472008 6472008 3050016 6600982 4156163 10585204 10585204 10585204 5771449 11799944 11799944 11799944
r-7 21 0.909524 15 0.609524 9769 1193 1193 1193 9961 1365 15012 1552 1552 1552 2914 875 875 875
r-955 34 0.782531 24 0.148551 5603 11786 5603 11786 6341 9710 6642 15779 6642 15779 31038 73790 31038 73790
r-263 40 0.842308 32 0.790323 -1 23179819 23179819 23179819 -1 48457513 -1 32556620 32556620 32556620 -1 -1 -1 -1
r-550 32 0.719758 18 0.20915 4769 15572 4769 15572 5664 21468 4748 23349 4748 23349 12266 30314 12266 30314
r-714 25 0.516667 14 0.516484 31735 53947 53947 53947 33290 48562 44669 74943 74943 74943 43730 69618 69618 69618
r-261 28 0.00529101 16 0.616667 5263 336 336 336 5407 295 8292 629 629 629 8362 9048 9048 9048
r-485 36 0.0031746 40 0.273077 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-741 14 0.428571 27 0.783476 9696 3366 9696 9696 4211 7063 12623 3708 12623 12623 14068 9025 14068 14068
r-574 23 0.865613 34 0.627451 7361488 705907 705907 7361488 1482698 5427129 11706525 1075603 1075603 11706525 6727386 8475991 8475991 6727386
r-307 24 0.706522 16 0.508333 81697 13232 13232 13232 83803 15811 148303 18515 18515 18515 28980 24498 24498 24498
r-461 34 0.850267 26 0.772308 14272837 1877381 1877381 1877381 14570831 2478840 20525600 2541670 2541670 2541670 9952157 3024115 3024115 3024115
r-165 14 0.043956 35 0.388235 5514447 39093 39093 5514447 174088 2996158 6272415 47085 47085 6272415 6733994 222988 222988 6733994
r-369 11 0.945455 11 0.927273 54 53 53 54 54 53 69 68 68 69 3653 213 213 3653
r-399 32 0.296371 24 0.550725 362651 627520 627520 627520 420471 494014 477336 976314 976314 976314 2099392 2705510 2705510 2705510
r-293 20 0.178947 25 0.07 14082 1368525 14082 14082 1185235 14078 13895 1499505 13895 13895 1294496 4702765 1294496 1294496
r-629 15 0.695238 38 0.291607 21354 2655 21354 21354 4550 24928 27799 2329 27799 27799 66709 7566 66709 66709
r-520 28 0.674603 29 0.394089 766253 1340632 1340632 766253 1655131 728274 1141917 2111838 2111838 1141917 3194257 2479069 2479069 3194257
r-397 24 0.851449 37 0.933934 145629 -1 145629 145629 -1 167748 173897 -1 173897 173897 1260604 -1 1260604 1260604
r-35 28 0.0291005 15 0.352381 346083 701 701 701 350254 671 387457 343 343 343 1076348 2491 2491 2491
r-331 32 0.782258 10 0.466667 238 1800 1800 1800 280 1814 126 733 733 733 207 1704 1704 1704
r-313 10 0.2 38 0.231863 135 102 102 135 98 150 122 113 113 122 84 32 32 84
r-850 31 0.455914 31 0.690323 1853278 5328734 1853278 1853278 2405879 4781771 2422869 8144879 2422869 2422869 11672177 9689694 11672177 11672177
r-425 22 0.692641 35 0.789916 820626 4225403 820626 820626 3626990 1074327 1180792 6485683 1180792 1180792 933647 1707616 933647 933647
r-867 17 0.735294 28 0.113757 1611 2240 1611 1611 2643 989 2383 1056 2383 2383 13532 3686 13532 13532
r-418 31 0.802151 10 0.577778 2594 745 745 745 2597 788 2674 795 795 795 273 864 864 864
r-392 15 0.914286 14 0.461538 2423 491 491 491 2492 367 2856 646 646 646 3310 1698 1698 1698
r-352 35 0.344538 32 0.764113 564029 380127 564029 380127 731388 360117 819968 545881 819968 545881 3224851 1515498 3224851 1515498
r-722 18 0.20915 31 0.423656 1136003 224308 224308 1136003 320042 1017613 1890312 361180 361180 1890312 987459 823312 823312 987459
r-627 40 0.839744 28 0.507937 13243659 697186 697186 697186 12139281 1149679 25591564 1156507 1156507 1156507 4126114 5860620 5860620 5860620
r-498 26 0.704615 13 0.858974 9456 5789 9456 5789 9705 5686 4357 4673 4357 4673 16915 38802 16915 38802
r-757 15 0.209524 21 0.161905 9204 50093 9204 9204 39805 12409 9956 55453 9956 9956 43866 79754 43866 43866
r-665 12 0.272727 18 0.542484 2627 909 909 2627 1100 1742 2921 708 708 2921 2966 1723 1723 2966
r-447 30 0.124138 31 0.651613 108679 17268 17268 108679 25070 69310 172613 17420 17420 172613 96702 129410 129410 96702
r-637 16 0.675 33 0.244318 19803 6941 19803 19803 8216 18501 25264 8065 25264 25264 29303 26214 29303 29303
