instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-237 25 0.133333 31 0.582796 501018 379387 379387 501018 382441 603465 762336 594102 594102 762336 666456 304468 304468 666456
r-359 39 0.179487 12 0.681818 30285 6176 6176 6176 37281 4344 43102 8854 8854 8854 48027 5525 5525 5525
r-354 13 0.102564 50 0.493878 57265 790430 790430 57265 1021851 57265 57267 1081027 1081027 57267 45081 855266 855266 45081
r-762 28 0.417989 13 0.24359 55838 5619 55838 5619 58640 5477 70392 5621 70392 5621 52068 5490 52068 5490
r-943 20 0.178947 19 0.760234 8573 10045 10045 10045 21201 6919 12453 15176 15176 15176 9032 12152 12152 12152
r-686 36 0.371429 11 0.436364 50954 1 1 1 49920 1 50955 2 2 2 47704 1 1 1
r-89 43 0.479513 38 0.780939 422984100 604093863 422984100 604093863 822696690 506813067 813502269 1086389356 813502269 1086389356 497814857 541860402 497814857 541860402
r-29 45 0.267677 36 0.431746 1956636447 725904233 725904233 725904233 1671036093 950664398 -1 1325432787 1325432787 1325432787 1660353232 892434310 892434310 892434310
r-681 32 0.554435 23 0.296443 3488235 2191415 3488235 2191415 5423356 3166895 6109195 3358500 6109195 3358500 5049040 3121121 5049040 3121121
r-392 13 0.576923 21 0.519048 4290 18212 18212 4290 18510 4232 5036 25291 25291 5036 4148 10849 10849 4148
r-282 17 0.294118 18 0.346405 24965 27028 27028 24965 36570 23137 36167 39374 39374 36167 20464 23582 23582 20464
r-981 25 0.283333 27 0.424501 6059934 4461357 4461357 6059934 6840484 5390409 11168063 7852208 7852208 11168063 4818349 3685633 3685633 4818349
r-67 47 0.395005 21 0.595238 24493900 11610832 11610832 11610832 28560694 11993499 41700741 18468993 18468993 18468993 38497867 10548696 10548696 10548696
r-915 29 0.837438 20 0.00526316 2866 22451 2866 22451 12540 9342 8164 44771 8164 44771 4639 23283 4639 23283
r-616 11 0.727273 17 0.360294 562 1828 1828 562 1344 578 665 2443 2443 665 211 726 726 211
r-895 18 0 35 0.912605 22030 3235 3235 22030 18412 9706 35923 9692 9692 35923 22030 9032 9032 22030
r-107 25 0.543333 43 0.320044 20096320 48990745 20096320 20096320 60369899 21320430 33014886 84461690 33014886 33014886 23172764 55834644 23172764 23172764
r-803 47 0.46901 22 0.406926 134871329 50590553 134871329 50590553 141231407 47883423 251476924 82714644 251476924 82714644 122795738 47337726 122795738 47337726
r-369 46 0.0879227 37 0.884384 322840 335442 335442 335442 447488 131134 531079 596941 596941 596941 468853 270756 270756 270756
r-193 23 0.0750988 39 0.426451 4740803 726410 726410 4740803 2655064 2914605 7237164 1205047 1205047 7237164 6593323 1073272 1073272 6593323
r-338 35 0.72437 40 0.834615 416364411 1829122640 416364411 416364411 1515267539 449541023 639974320 -1 639974320 639974320 509964563 2001506819 509964563 509964563
r-339 30 0.744828 33 0.42803 13299630 11614115 11614115 13299630 16590542 13881113 21390743 20761182 20761182 21390743 14076361 13055985 13055985 14076361
r-728 15 0.12381 24 0.677536 13399 6014 6014 13399 15799 14574 21108 9934 9934 21108 11028 14668 14668 11028
r-739 48 0.140071 45 0.731313 22538891 14699057 14699057 14699057 37367857 13622222 38441459 29488890 29488890 29488890 27737868 18849862 18849862 18849862
r-388 26 0.270769 37 0.163664 6978618 46718608 6978618 6978618 43893865 7377715 9549516 71995616 9549516 9549516 7734334 55848620 7734334 7734334
r-617 20 0.452632 48 0.54078 19301667 57563735 57563735 19301667 63409456 18929100 29215520 99871103 99871103 29215520 20090536 57812443 57812443 20090536
r-947 25 0.306667 43 0.785161 1040565 2674583 1040565 1040565 3414578 1518135 1643862 4400579 1643862 1643862 1801468 3221066 1801468 1801468
r-500 50 0.08 12 0.833333 3482 4000 4000 4000 5434 2054 7002 7370 7370 7370 5284 3678 3678 3678
