instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-275 16 0.5 16 0.5 7232 7498 6220 6080
r-634 22 0.17316 22 0.17316 28591 255550 5176 5330
r-731 19 0.19883 19 0.19883 21916055 -1 21915777 21915777
r-5 27 0.358974 27 0.358974 446272 2116027 27407 27308
r-470 39 0.48583 39 0.48583 34611965 93953970 20118867 19934035
r-772 35 0.510924 35 0.510924 26346384 65695728 23216727 23230138
r-926 30 0.404598 30 0.404598 170557 1326263 91346 91405
r-448 28 0.349206 28 0.349206 827019 2961497 690092 684242
r-61 42 0.501742 42 0.501742 -1 -1 -1 -1
r-658 20 0.336842 20 0.336842 8598 129288 6185 6182
r-55 42 0.493612 42 0.493612 358817144 132745997 293826263 291686755
r-173 40 0.384615 40 0.384615 595580015 -1 541578559 547048201
r-483 29 0.295567 29 0.295567 1120621 4481872 801706 799471
r-463 34 0.40107 34 0.40107 3132625 9984085 662569 640229
r-335 21 0.466667 21 0.466667 52049 16982 35344 34026
r-356 45 0.20202 45 0.20202 -1 -1 -1 -1
r-504 27 0.512821 27 0.512821 1804152 4911506 1635956 1643522
r-949 20 0.521053 20 0.521053 11843 29800 13469 12970
r-537 25 0.48 25 0.48 363094 912986 252538 245312
r-636 27 0.358974 27 0.358974 1797382 5258451 58107 57160
r-809 35 0.393277 35 0.393277 61101068 8566069 55276125 56802095
r-785 30 0.186207 30 0.186207 -1 -1 -1 -1
r-429 23 0.498024 23 0.498024 69843 266018 48887 50165
r-614 27 0.31339 27 0.31339 483499 1454666 410439 408566
r-734 29 0.133005 29 0.133005 -1 -1 -1 -1
r-443 18 0.424837 18 0.424837 11879 1966 8461 8236
r-902 25 0.52 25 0.52 630886 305697 507637 500655
