mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
237506451 254562274 509216969 505066109 530233609 697793987 237506451 697793987 380450223 795023771 878118058 380450223 1126098257 551751110 551751110
-1 -1 3612596254 3720239851 258488861 175747230 175747230 175747230 -1 4683657578 265263530 169912616 169912616 239751677 239751677
49743032 58242140 84267702 93992678 80116992 105493562 49743032 105493562 79685320 137305387 136904470 79685320 179629481 83079274 83079274
247822 259947 153307414 157371544 243219 157635888 247822 247822 274773 168591768 270168 274773 274773 291758 291758
4702685 4790784 15675547 15944069 4656106 13886713 13886713 4702685 4221051 20853807 4197152 18553033 4221051 4628013 4628013
148987 150469 679339 750124 149597 723600 148987 148987 55016 293682 55798 55016 55016 155579 155579
1419550 3864453 1384666 1855952 127809 129675 1419550 129675 1426010 1390777 126305 1426010 128218 128036 128036
1699 1719 11221 17563 1698 11938 1699 1699 1970 11826 1969 1970 1970 1720 1720
1838580 2012127 1769984 1871097 1730915 1313597 1313597 1838580 2469186 2328078 2318324 1708302 2469186 1689055 1689055
21401 32922 16493 21383 1953 2126 2126 2126 27187 21123 2235 2481 2481 1897 1897
10218995 10766257 23790358 27175355 9860626 21608780 21608780 10218995 14354191 35908362 13866792 32803252 14354191 9895189 9895189
1774661 3924115 1707645 1970887 270612 241089 241089 241089 2014449 1934196 300336 268322 268322 265212 265212
71241 76141 210322 244360 69025 217619 217619 71241 96596 320617 93641 329460 96596 68902 68902
6278658 8422270 6237058 6887245 1307780 1201805 1201805 1201805 9154771 9037665 1736102 1609426 1609426 1280223 1280223
1201 2086 1011 1129 280 215 215 215 1084 893 150 111 111 276 276
175948781 185252202 -1 -1 210567073 -1 175948781 175948781 167655573 -1 212784729 167655573 167655573 225168227 225168227
587209 658470 553638 615935 541832 446876 446876 587209 776411 825107 711701 654321 776411 541688 541688
78642542 85134505 55626224 58315210 58134981 21095486 21095486 78642542 90229781 65345628 67563289 25361195 90229781 52074505 52074505
-1 -1 -1 -1 774629 344860 344860 344860 -1 -1 845091 345569 345569 611624 611624
8467 31019 7336 15896 1154 692 692 692 10778 9469 1220 808 808 967 967
133056 146157 897815 1076520 161602 940032 133056 133056 193587 1375565 229938 193587 193587 170220 170220
1137 1149 16080 85284 1314 20410 1137 1137 1607 21481 1805 1607 1607 1361 1361
56223364 54706637 109356154 106043901 111599881 133261805 56223364 133261805 87326203 162760705 163002944 87326203 190877416 114516572 114516572
134040 865953 136011 270145 7302 3851 3851 3851 206616 206623 9675 5174 5174 6765 6765
325626 339560 538267 576089 352328 602327 325626 325626 363277 628450 359173 363277 363277 360671 360671
2285251947 2720656262 1839568423 1876478238 84811208 69608507 69608507 69608507 2454733064 1978799592 76238551 65350916 65350916 77551106 77551106
413 425 6324 17015 651 5003 413 413 713 8804 947 713 713 748 748
577667 1989599 876913 1732730 1812744 5025 5025 5025 973985 1432261 2709233 7971 7971 1823265 1823265
4143 4528 18348 22971 4030 18830 4143 4143 5081 27138 4953 5081 5081 4279 4279
28054 41589 25560 29253 2407 2022 2022 2022 28173 25677 2557 2134 2134 2311 2311
7186 8441 8515 9282 5631 7365 7365 7186 7364 7140 5543 6982 7364 5485 5485
368671927 389475674 -1 -1 450060151 -1 368671927 368671927 495719897 -1 619447451 495719897 495719897 486851664 486851664
70454585 77032588 -1 -1 82495451 -1 70454585 70454585 77886660 -1 92130922 77886660 77886660 86719330 86719330
335844 342369 219725466 224774288 653940 220267003 335844 335844 393702 244039332 846653 393702 393702 703103 703103
10546487 21813484 9420591 11681150 1753500 961696 961696 961696 15058042 13263918 2453039 1303686 1303686 1638831 1638831
1192151726 1231088256 1130569772 1142157578 3083047 1996238 1996238 1996238 1253892858 1188526904 2176442 2203440 2203440 2836251 2836251
66270 69184 216082 254508 64647 225141 66270 66270 88009 341087 85715 88009 88009 65694 65694
14034252 33119313 13526499 18803049 3824362 3554744 3554744 3554744 25177659 24139031 5940925 5541228 5541228 3749900 3749900
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
271939 286933 854121 904484 266507 776345 776345 271939 302159 1025603 295969 930937 302159 270298 270298
65362 72774 2543033 2692134 105781 2600263 65362 65362 78184 2962063 130082 78184 78184 122489 122489
13211510 14166833 113944298 122263804 16823320 127937134 13211510 13211510 18362677 171301473 23884105 18362677 18362677 17362010 17362010
601701 610487 2942941 3627500 597957 2930567 2930567 601701 600340 3579865 597395 3575426 600340 602283 602283
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
144654 550881 141313 378788 44684 41135 41135 41135 117779 114372 7006 43409 43409 43898 43898
304266 344213 13663690 14369047 535745 13827513 304266 304266 395969 18948619 715884 395969 395969 574633 574633
890059 935431 36533249 39363734 930743 37794706 890059 890059 1072840 46244630 1123402 1072840 1072840 996015 996015
866 874 6349 6504 859 6189 866 866 890 7746 879 890 890 933 933
177981851 184411343 2973146702 3739562125 180633134 3064665197 177981851 177981851 230818703 4244129025 235564809 230818703 230818703 185028497 185028497
