mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
30425598 34126213 43840210 48583629 24744341 24247491 30425598
2511015299 2712829874 4746287910 5307279570 2272061686 3126568853 2511015299
2046048 2391305 3323605 3589686 1833143 2956719 2046048
41645353 52278162 36763397 42868701 34268412 29445886 29445886
158327 985632 188002 963922 156307 934791 158327
26268992 27878712 77563401 81133312 23364705 61692413 26268992
1834679 1986909 1013480 1068703 1016726 818438 1834679
644801 764187 956682 1051198 550383 778668 644801
23826451 29391971 32682459 37652913 20207881 27308217 23826451
-1 -1 -1 -1 -1 -1 -1
1614704950 1908817626 2788067280 3112707535 1319839352 1664888083 1664888083
-1 -1 -1 -1 -1 -1 -1
476512722 553201951 714802431 813714769 450361223 650383579 476512722
656 711 729 740 624 743 656
1591412 1865767 1403368 1477281 1212070 979899 1591412
6151827 7034157 8826192 9511038 5667452 7670278 6151827
1242 1383 1048 1065 1166 1136 1242
7717072 7699395 8286095 9066013 6596577 5195046 7717072
305298160 337330156 467454728 488091491 214737945 265191068 305298160
2618 3226 2492 2671 2002 2502 2618
-1 -1 -1 -1 -1 -1 -1
13638 14645 16021 16960 10168 10095 13638
-1 -1 -1 -1 -1 -1 -1
2599 2833 2114 2226 2216 2399 2599
1752 1766 1562 1626 1582 1634 1752
1590067 1808247 2125348 2444413 1296259 1851246 1590067
8104 9197 9854 9606 5869 9067 8104
-1 -1 -1 -1 -1 -1 -1
1172 1281 1453 1494 1124 1457 1172
11297521 12807834 7290642 8184250 9654920 6797329 11297521
258288 324361 249229 280725 217356 225938 258288
594125 691185 811616 1019243 574701 700260 594125
-1 -1 -1 -1 -1 -1 -1
870974 924210 1201017 1269133 622556 917922 870974
36 35 31 30 37 32 36
-1 -1 -1 -1 -1 -1 -1
5929 8565 6827 7376 5615 7523 5929
30119398 40918409 36120936 41723599 47720907 62457952 30119398
25587 27694 19781 20222 23091 223903 25587
670 707 764 772 583 708 670
127 130 65 81 115 85 127
