mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
208898 209208 1000000 1000000 254021 1000000 206799 207116 257800 1000000 331036 259735 256791 290415 288307
53583 56577 24874 25026 264 227 226 226 59315 26822 374 92 93 359 324
865538 1000000 723165 792863 247739 165933 165850 166600 1000000 1000000 399291 264146 263083 238576 238521
436 380 386 289 171 162 105 162 575 496 181 169 170 112 112
4 4 166 345 4 320 8 8 5 174 6 5 5 5 8
0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
1000000 1000000 1000000 1000000 53192 39835 1000000 39260 1000000 1000000 56726 1000000 42423 50632 50623
625874 735526 456965 448308 602663 333502 332648 628591 1000000 806819 1000000 594157 1000000 603020 602468
0 1 17 20 1 11 0 1 0 17 0 1 0 0 1
17992 19080 16209 16264 4 2 4 4 18345 16103 5 4 4 4 4
5 3 4 5 0 0 0 0 4 5 0 0 0 0 0
168 178 455 481 156 913 98 99 188 1045 151 215 217 208 210
87 87 230 521 146 309 87 87 87 403 163 158 137 214 212
365479 405456 190878 179217 339511 104321 104310 366430 639880 322789 602149 178502 640136 335404 335016
711 1396 693 1012 225 81 81 132 1017 1297 235 109 178 139 139
774 796 17356 17401 845 19453 1037 790 1052 24522 1433 1088 1077 1126 1022
651 465 556 660 631 505 722 618 788 891 627 723 652 410 524
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
