instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
phase-30-150-0.74-0.68-0.70-6 3235 2810 266292 269086 4257 1806 370698 273891 1000000 1000000 1000000 2910 4357 12 273891 1806
phase-30-150-0.74-0.68-0.70-7 7168 6417 32401 32369 8329 3537 47372 34345 1000000 1000000 1000000 6517 8429 12 34345 3537
phase-30-150-0.74-0.68-0.70-8 20290 18447 337659 336771 36339 9748 630068 462960 1000000 1000000 1000000 18547 36439 12 462960 9748
phase-30-150-0.76-0.70-0.72-1 6998 6094 250540 249705 9944 3875 377834 277061 1000000 1000000 1000000 6194 10044 12 277061 3875
phase-30-150-0.76-0.70-0.72-2 6364 5534 11200 11218 7182 2879 18222 13496 1000000 1000000 1000000 5634 7282 12 13496 2879
phase-30-150-0.76-0.70-0.72-3 5423 4612 45664 45663 3559 3164 61849 45210 1000000 1000000 1000000 4712 3659 12 45210 3164
phase-30-150-0.76-0.70-0.72-4 1590 1328 5494 5566 3094 778 8827 6428 1000000 1000000 1000000 1428 3194 12 6428 778
phase-30-150-0.76-0.70-0.72-5 965 793 33372 33243 1097 621 45611 33183 1000000 1000000 1000000 893 1197 12 33183 621
phase-30-150-0.76-0.70-0.72-6 3142 2733 4315 4258 11828 1612 6841 4933 1000000 1000000 1000000 2833 11928 12 4933 1612
phase-30-150-0.76-0.70-0.72-7 1223 1009 14788 14485 1265 769 19420 14801 1000000 1000000 1000000 1109 1365 12 14801 769
phase-30-150-0.76-0.70-0.72-8 6291 5569 8961 8938 9675 3612 11884 8566 1000000 1000000 1000000 5669 9775 12 8566 3612
phase-30-150-0.78-0.72-0.74-1 10733 9223 788392 788250 49057 4830 1000000 845040 1000000 1000000 1000000 9323 49157 12 845040 4830
phase-30-150-0.78-0.72-0.74-2 2385 2046 1000000 1000000 3531 1317 1000000 1000000 1000000 1000000 1000000 2146 3631 12 1000000 1317
phase-30-150-0.78-0.72-0.74-3 9190 8040 127783 130285 19002 4792 184738 132030 1000000 1000000 1000000 8140 19102 12 132030 4792
phase-30-150-0.78-0.72-0.74-4 4139 3602 87577 87645 5192 2097 130321 95588 1000000 1000000 1000000 3702 5292 12 95588 2097
phase-30-150-0.78-0.72-0.74-5 3136 2657 38895 38887 2759 1630 49129 36156 1000000 1000000 1000000 2757 2859 12 36156 1630
phase-30-150-0.78-0.72-0.74-6 2930 2534 154401 153189 3313 1562 217251 157002 1000000 1000000 1000000 2634 3413 12 157002 1562
phase-30-150-0.78-0.72-0.74-7 36713 33750 569982 569820 51672 15160 821468 611251 1000000 1000000 1000000 33850 51772 12 611251 15160
phase-30-150-0.78-0.72-0.74-8 2841 2301 188735 189203 2970 1510 259780 189609 1000000 1000000 1000000 2401 3070 12 189609 1510
phase-30-150-0.80-0.72-0.74-1 2879 2474 23284 23225 2527 1469 30388 22550 1000000 1000000 1000000 2574 2627 12 22550 1469
phase-30-150-0.80-0.72-0.74-2 20256 18480 493434 497810 99746 8900 803610 584812 1000000 1000000 1000000 18580 99846 12 584812 8900
phase-30-150-0.80-0.72-0.74-3 10093 8790 20487 20680 13363 5129 26066 19154 1000000 1000000 1000000 8890 13463 12 19154 5129
phase-30-150-0.80-0.72-0.74-4 27062 23704 1000000 1000000 31509 12519 1000000 1000000 1000000 1000000 1000000 23804 31609 12 1000000 12519
phase-30-150-0.80-0.72-0.74-5 69618 61167 1000000 1000000 87965 27731 1000000 1000000 1000000 1000000 1000000 61267 88065 12 1000000 27731
phase-30-150-0.80-0.72-0.74-6 2969 2646 28765 28681 2781 1676 34542 25336 1000000 1000000 1000000 2746 2881 12 25336 1676
phase-30-150-0.80-0.72-0.74-7 11123 9571 35408 35906 23982 5365 78848 57737 1000000 1000000 1000000 9671 24082 12 57737 5365
phase-30-150-0.80-0.72-0.74-8 15493 13752 132616 132590 27087 7621 173287 126805 1000000 1000000 1000000 13852 27187 12 126805 7621
phase-30-150-0.82-0.74-0.76-1 6226 5569 117476 117710 8758 2576 157398 116117 1000000 1000000 1000000 5669 8858 12 116117 2576
phase-30-150-0.82-0.74-0.76-2 22087 19375 339739 345144 34656 9427 429011 314504 1000000 1000000 1000000 19475 34756 12 314504 9427
phase-30-150-0.82-0.74-0.76-3 20888 17699 79555 78505 23634 8418 108570 82686 1000000 1000000 1000000 17799 23734 12 82686 8418
phase-30-150-0.82-0.74-0.76-4 20085 17952 572462 575769 19081 7685 845354 632448 1000000 1000000 1000000 18052 19181 12 632448 7685
phase-30-150-0.82-0.74-0.76-5 48828 44328 1000000 1000000 91036 20166 1000000 1000000 1000000 1000000 1000000 44428 91136 12 1000000 20166
phase-30-150-0.82-0.74-0.76-6 27008 24169 1000000 1000000 44482 11874 1000000 1000000 1000000 1000000 1000000 24269 44582 12 1000000 11874
phase-30-150-0.82-0.74-0.76-7 17405 15225 306205 304670 20586 6982 397395 293971 1000000 1000000 1000000 15325 20686 12 293971 6982
phase-30-150-0.82-0.74-0.76-8 9905 8597 76724 76760 8406 4273 93241 68072 1000000 1000000 1000000 8697 8506 12 68072 4273
phase-30-150-0.84-0.74-0.76-1 5072 4345 617700 614886 5574 2370 820620 592009 1000000 1000000 1000000 4445 5674 12 592009 2370
phase-30-150-0.84-0.74-0.76-2 13900 12365 101308 100261 20258 6216 148467 108637 1000000 1000000 1000000 12465 20358 12 108637 6216
