instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static instance pattern_n pattern_d target_n target_d
si2_m4D_m1296.00 1 1 0 0 1 11 107 28 0 23 29 1 1 si2_m4D_m1296.00 259 0.0205621 1296 0.00429
si4_b03_m800.05 0 0 0 0 0 4 100 24 0 27 0 0 0 si4_b03_m800.05 320 0.00934561 800 0.00375469
si4_b03_m800.00 0 0 0 0 0 6 68 24 0 25 0 0 0 si4_b03_m800.00 320 0.00934561 800 0.00375469
si4_b03_m800.08 0 0 0 0 0 4 102 24 0 26 0 0 0 si4_b03_m800.08 320 0.00934561 800 0.00375469
si4_b03_m800.09 0 0 0 0 0 4 56 24 0 40 0 0 0 si4_b03_m800.09 320 0.00934561 800 0.00375469
si4_b03_m800.03 0 0 0 0 0 6 100 24 0 40 0 0 0 si4_b03_m800.03 320 0.00934561 800 0.00375469
si4_b03_m800.02 0 0 0 0 0 6 55 41 0 31 0 0 0 si4_b03_m800.02 320 0.00934561 800 0.00375469
si4_b03_m800.04 0 0 0 0 0 6 85 42 0 40 0 0 0 si4_b03_m800.04 320 0.00934561 800 0.00375469
si4_b03_m800.01 0 0 0 0 0 6 104 24 0 41 0 0 0 si4_b03_m800.01 320 0.00934561 800 0.00375469
si4_b03_m800.06 0 0 0 0 0 4 104 24 0 35 0 0 0 si4_b03_m800.06 320 0.00934561 800 0.00375469
si4_b03_m800.07 0 0 0 0 0 6 103 42 0 29 0 0 0 si4_b03_m800.07 320 0.00934561 800 0.00375469
si6_m4D_m1296.02 4 4 4 4 8 29 390 141 4 205 158 8 4 si6_m4D_m1296.02 777 0.00679988 1296 0.00429
si6_m4D_m1296.07 7 7 4 7 11 38 1523 897 22 336 7168 11 7 si6_m4D_m1296.07 777 0.00472674 1296 0.00429
si6_m4D_m1296.05 5 6 6 9 18 38 387 142 15 130 201 18 6 si6_m4D_m1296.05 777 0.00682641 1296 0.00429
si6_m4D_m1296.09 12 9 14 9 18 71 500 428 34 277 3310 18 9 si6_m4D_m1296.09 777 0.00489923 1296 0.00429
si6_m4D_m1296.00 17462 19990 20016 19886 19160 60560 2509 24586 63399 45070 991143 20090 19260 si6_m4D_m1296.00 777 0.00500206 1296 0.00429
si6_m4D_m1296.08 3 4 3 3 4 18 226 245 1 77 77 4 4 si6_m4D_m1296.08 777 0.00679324 1296 0.00429
si6_m4D_m1296.04 9 9 9 9 17 59 285 239 9 173 183 17 9 si6_m4D_m1296.04 777 0.00671364 1296 0.00429
si6_m4D_m1296.06 6 6 6 6 11 55 861 1548 17 221 309 11 6 si6_m4D_m1296.06 777 0.00450782 1296 0.00429
